X_Position,Y_Position,X_Velocity,Y_Velocity
-724.7276819709562,-827.101218803675,-2.6876362732604133,-2.7809693180221178
-9.572384613309591,271.6600433323154,-4.871074844713019,-1.1281089739932229
244.08876100028704,-423.2260786402717,0.7954242503524032,-1.4584662312477983
-11.735790359353757,270.1905178197767,-4.959321837906272,-0.6364958036514925
-25.12365774969019,-674.4947585964371,-3.814504985110034,3.232576637694875
-12.0696713216402,271.4166608255913,-4.4116030525955265,-2.353244251311333
-27.77678155809474,-673.5058612308885,-4.198966447466682,2.7145314094791804
-138.83588047065746,-780.4868256538645,-0.44509157023458235,-1.7916862132139777
-14.791176709450085,271.86786601661834,-4.9254939475281745,-0.8599473081900539
-30.60552534584936,-672.1972554193868,-4.30975733280128,2.5349539901871196
